"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1130","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:20:05,FALSE,NA,"1510124891013468163",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Karthik50893434",110,TRUE,FALSE,NA,NA
"1131","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:19:56,FALSE,NA,"1510124853348630530",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MlakshmananM3",110,TRUE,FALSE,NA,NA
"1132","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:19:42,FALSE,NA,"1510124795735998464",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnnamalaiPonma3",110,TRUE,FALSE,NA,NA
"1133","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:19:31,FALSE,NA,"1510124747299835909",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MathialaganMa12",110,TRUE,FALSE,NA,NA
"1134","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:19:12,FALSE,NA,"1510124668371763200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Prakash55371356",110,TRUE,FALSE,NA,NA
"1135","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:19:01,FALSE,NA,"1510124624658399232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KarthickPadma2",48,TRUE,FALSE,NA,NA
"1136","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:18:20,FALSE,NA,"1510124451421376518",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rcrajesh6",110,TRUE,FALSE,NA,NA
"1137","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:18:15,FALSE,NA,"1510124428432080907",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VijayaK62587423",63,TRUE,FALSE,NA,NA
"1138","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:18:13,FALSE,NA,"1510124420354162688",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kingaug888",63,TRUE,FALSE,NA,NA
"1139","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:18:10,FALSE,NA,"1510124408941125635",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Lakshma16318674",110,TRUE,FALSE,NA,NA
"1140","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:18:00,FALSE,NA,"1510124367560458242",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kingaug888",110,TRUE,FALSE,NA,NA
"1141","RT @Poorvika_Mobile: Get that coveted Premium Lifestyle with Apple. Upto <U+20B9>5,000* HDFC Cashback &amp; More Offers! Visit Poorvika Today!

Shop O…",FALSE,0,NA,2022-04-02 05:17:48,FALSE,NA,"1510124318239297538",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vinu4717",110,TRUE,FALSE,NA,NA
