"review_title","review_text","review_star","review_date","page"
"not bad base on this price","not bad base on this price","5.0 out of 5 stars","Reviewed in Australia on 22 December 2021",1
"Apple, what else would you expect","Magic, I just love it.","5.0 out of 5 stars","Reviewed in Australia on 5 March 2022",1
"Great phone","Great product as always","5.0 out of 5 stars","Reviewed in Australia on 31 December 2021",1
"Good","No complaints. Same as the product advertised<U+0001F44D>","5.0 out of 5 stars","Reviewed in Australia on 31 January 2022",1
"Not latest specs","No USB C,No Bluetooth 5.2 ( only has 5.0v which is 2016 technology), No wifi 6E, No 5G mmWave capability in AustraliaFor a premium phone specifications are disappointing!","3.0 out of 5 stars","Reviewed in Australia on 27 February 2022",1
"IPhone <U+2764>","This is my first iPhone (although I have had a MacBook and an iPad for years) and I absolutely love it.","5.0 out of 5 stars","Reviewed in Australia on 29 December 2021",1
"perfect","it is perfect !","5.0 out of 5 stars","Reviewed in Australia on 25 March 2022",1
